Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,60
design__inferred_latch__count,0
design__instance__count,2057
design__instance__area,29507.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,13
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0006419482524506748
power__switching__total,0.0001193564894492738
power__leakage__total,6.512189543173008E-7
power__total,0.0007619559764862061
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2674610608692003
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2675291730536874
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.02898945054949935
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.774036190385047
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.028989
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.388737
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,13
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.28366310103729253
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2858881268194474
timing__hold__ws__corner:nom_slow_1p08V_125C,0.43185212184165134
timing__setup__ws__corner:nom_slow_1p08V_125C,7.4215409252088245
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.431852
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.896950
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,13
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2737668502716549
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27383512898960044
timing__hold__ws__corner:nom_typ_1p20V_25C,0.1753613415224866
timing__setup__ws__corner:nom_typ_1p20V_25C,10.241331628178749
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.175361
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.090389
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2674610608692003
clock__skew__worst_setup,0.2675291730536874
timing__hold__ws,0.02898945054949935
timing__setup__ws,7.4215409252088245
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.028989
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.896950
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,0.96 3.78 201.12 151.2
design__io,45
design__die__area,31318.4
design__core__area,29507.6
design__instance__count__stdcell,1382
design__instance__area__stdcell,23587.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.799361
design__instance__utilization__stdcell,0.799361
design__rows,39
design__rows:CoreSite,39
design__sites,16263
design__sites:CoreSite,16263
design__instance__count__class:buffer,8
design__instance__area__class:buffer,58.0608
design__instance__count__class:inverter,65
design__instance__area__class:inverter,353.808
design__instance__count__class:sequential_cell,209
design__instance__area__class:sequential_cell,10238.7
design__instance__count__class:multi_input_combinational_cell,718
design__instance__area__class:multi_input_combinational_cell,7449.93
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,43522.4
design__instance__displacement__mean,31.698
design__instance__displacement__max,289.32
route__wirelength__estimated,84592.9
design__violations,0
design__instance__count__class:timing_repair_buffer,345
design__instance__area__class:timing_repair_buffer,4880.74
design__instance__count__class:clock_buffer,18
design__instance__area__class:clock_buffer,489.888
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,67.1328
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,262
global_route__vias,26
global_route__wirelength,129088
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,48.9888
route__net,1381
route__net__special,2
route__drc_errors__iter:0,210
route__wirelength__iter:0,96284
route__drc_errors__iter:1,72
route__wirelength__iter:1,96232
route__drc_errors__iter:2,80
route__wirelength__iter:2,96221
route__drc_errors__iter:3,0
route__wirelength__iter:3,96207
route__drc_errors__iter:4,95
route__wirelength__iter:4,96071
route__drc_errors__iter:5,90
route__wirelength__iter:5,96070
route__drc_errors__iter:6,90
route__wirelength__iter:6,96070
route__drc_errors__iter:7,36
route__wirelength__iter:7,96141
route__drc_errors__iter:8,36
route__wirelength__iter:8,96141
route__drc_errors__iter:9,6
route__wirelength__iter:9,96168
route__drc_errors__iter:10,6
route__wirelength__iter:10,96168
route__drc_errors__iter:11,0
route__wirelength__iter:11,96178
route__drc_errors,0
route__wirelength,96207
route__vias,13099
route__vias__singlecut,13099
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,381.955
design__instance__count__class:fill_cell,675
